House_Size_sqft,Price_INR
1260.0,5159231.0
4172.0,18143752.0
3492.0,14331287.0
866.0,4002461.0
4826.0,20581941.0
3844.0,16068035.0
3571.0,15054930.0
3319.0,13918901.0
530.0,2067802.0
2085.0,8556439.0
,5336000.0
2791.0,11670151.0
2833.0,11666999.0
1584.0,6817554.0
4955.0,20938938.0
3785.0,15449397.0
4517.0,18778142.0
3304.0,13367160.0
874.0,4435839.0
1482.0,6115579.0
2958.0,12220563.0
2447.0,10127350.0
3147.0,12991143.0
1375.0,5720091.0
2206.0,9635726.0
589.0,2503002.0
3134.0,12746519.0
3405.0,13956602.0
2299.0,30972192.0
1667.0,6751627.0
,8040354.0
3602.0,15922110.0
3956.0,16313489.0
4290.0,17584141.0
1046.0,4171120.0
3288.0,13269848.0
2835.0,12292831.0
1000.0,3852210.0
2763.0,35617784.0
2461.0,9936171.0
641.0,2184704.0
2441.0,10235745.0
3224.0,13315450.0
3012.0,12108992.0
1763.0,7292935.0
5214.0,22009464.0
2956.0,12282604.0
1175.0,5114784.0
4414.0,19048361.0
434.0,2067148.0
3552.0,14983156.0
2355.0,10134658.0
1985.0,9005134.0
4343.0,17808226.0
3473.0,14776416.0
1421.0,5669114.0
3861.0,16288715.0
3013.0,12257975.0
4243.0,18047369.0
1900.0,8063977.0
561.0,2806051.0
4697.0,19646018.0
2381.0,9909271.0
1395.0,5771069.0
3742.0,16454744.0
4951.0,20984249.0
4198.0,18035002.0
1675.0,7252307.0
1416.0,6211786.0
737.0,2652865.0
1278.0,5199648.0
,6012804.0
4393.0,18468325.0
779.0,3240750.0
892.0,3264097.0
2462.0,10353282.0
4284.0,17389051.0
464.0,2181741.0
2968.0,12496786.0
2427.0,10567007.0
3095.0,13062854.0
6940.0,29007876.0
791.0,2849330.0
4914.0,20520444.0
4874.0,20234487.0
3961.0,16747665.0
2678.0,11121269.0
3499.0,14877274.0
600.0,2926151.0
3504.0,14292575.0
4998.0,20990818.0
2854.0,11972477.0
,17083268.0
1204.0,5262796.0
3131.0,13626527.0
3173.0,12993758.0
1970.0,7802373.0
3090.0,13034553.0
4240.0,17942853.0
4392.0,18662696.0
902.0,3560070.0
4893.0,20077245.0
1270.0,5699691.0
4888.0,20683342.0
606.0,2431591.0
1884.0,7268958.0
1263.0,5103873.0
3190.0,13606617.0
963.0,4175039.0
4591.0,18868708.0
2157.0,9245136.0
2078.0,8701143.0
3642.0,15676522.0
1459.0,5918420.0
,8727306.0
3714.0,15633329.0
3557.0,14814103.0
3025.0,12442957.0
3129.0,13694232.0
1997.0,8813689.0
3460.0,14244026.0
3093.0,13056697.0
4027.0,16453812.0
1763.0,7914969.0
2381.0,10228243.0
2063.0,8965697.0
5746.0,24059259.0
,10592009.0
3702.0,15901605.0
2637.0,11026005.0
1706.0,6820499.0
4429.0,18732363.0
3075.0,12877042.0
1682.0,7620165.0
1109.0,4672990.0
4813.0,20246536.0
4148.0,17663694.0
1063.0,4465583.0
2398.0,10279907.0
3845.0,15987291.0
4143.0,17065032.0
1895.0,7685229.0
3704.0,15455663.0
4163.0,17520186.0
2253.0,9612311.0
1691.0,7238894.0
3981.0,16723222.0
3857.0,15878372.0
2036.0,31142523.0
4096.0,16752797.0
3399.0,13925524.0
3552.0,14931959.0
1098.0,4850536.0
2560.0,10940194.0
4497.0,18857300.0
1254.0,5400225.0
3874.0,15951164.0
2107.0,8680861.0
3177.0,13179409.0
2133.0,8666137.0
3910.0,16314213.0
602.0,2465753.0
3655.0,15212312.0
4618.0,19318576.0
4896.0,19704752.0
1166.0,5012908.0
4789.0,19992116.0
2727.0,11331432.0
3331.0,13573714.0
,2972702.0
2330.0,10265502.0
3982.0,16223833.0
1008.0,4162941.0
3672.0,15700738.0
1547.0,6389840.0
4682.0,19482559.0
3797.0,15746074.0
2911.0,12320011.0
2194.0,9999418.0
1059.0,4696170.0
3211.0,13153633.0
1769.0,22675476.0
2386.0,9940874.0
546.0,2035450.0
3619.0,14886095.0
3311.0,14131179.0
2134.0,8811920.0
2243.0,9532144.0
888.0,4264329.0
3376.0,14021899.0
2359.0,9990188.0
2785.0,11389913.0
3319.0,14064453.0
2202.0,9638413.0
4461.0,19110734.0
3769.0,15842492.0
,9075606.0
1023.0,4367641.0
1416.0,5962533.0
4043.0,17118942.0
2449.0,10095456.0
4123.0,17196550.0
4948.0,20716109.0
3508.0,14933539.0
4490.0,19097754.0
2456.0,10185731.0
3570.0,14648705.0
2082.0,8853192.0
2655.0,11370574.0
1554.0,6486555.0
4899.0,20361717.0
3591.0,14938809.0
2096.0,9295002.0
4391.0,18508719.0
2048.0,8905617.0
1845.0,7508072.0
4599.0,19678874.0
4323.0,18425006.0
653.0,2711876.0
3583.0,15231282.0
2957.0,12807580.0
498.0,1759194.0
2600.0,10762280.0
9722.0,40990683.0
4833.0,20304674.0
4177.0,17666787.0
3269.0,13936246.0
3634.0,15412387.0
4191.0,17526349.0
1356.0,5640014.0
4467.0,19228001.0
560.0,2377861.0
4893.0,20957195.0
1700.0,7567447.0
4387.0,18191115.0
1927.0,8314053.0
1618.0,6471536.0
4896.0,21048350.0
3504.0,14773368.0
3135.0,13209005.0
4955.0,20551463.0
1354.0,5504763.0
4965.0,20920857.0
3846.0,16180498.0
1445.0,5953465.0
2093.0,9054102.0
3836.0,16110462.0
962.0,3737201.0
2885.0,12333114.0
3754.0,15419017.0
2398.0,9495316.0
1359.0,5736647.0
4948.0,20472394.0
3467.0,62385150.0
1215.0,5347907.0
3520.0,15079351.0
416.0,1896494.0
1643.0,6502781.0
2605.0,10724954.0
2924.0,12282425.0
1469.0,6174324.0
3844.0,15862227.0
,12314270.0
1460.0,6375107.0
,11604523.0
3820.0,15951464.0
701.0,3253096.0
4676.0,19241247.0
1006.0,4471861.0
3570.0,15199378.0
1099.0,4839808.0
1539.0,6552738.0
590.0,2282025.0
2700.0,11517598.0
1380.0,23316843.0
3375.0,14236571.0
1584.0,6434430.0
3727.0,15549933.0
3794.0,15891825.0
527.0,2333317.0
2465.0,10523158.0
2216.0,9815910.0
969.0,4114238.0
2295.0,9354681.0
3133.0,13398590.0
4263.0,18005890.0
4414.0,18481689.0
3301.0,13744058.0
2086.0,8575729.0
3409.0,14122363.0
554.0,1960660.0
2937.0,12625053.0
